VaccinationDate,age_group,first_dose,second_dose
2021-02-28,90+,94,171
2021-02-28,20-29,11355,16598
2021-02-28,40-49,6387,8613
2021-02-28,30-39,9879,17073
2021-02-28,60-69,2147,2075
2021-02-28,50-59,3825,4523
2021-02-28,0-19,4827,4932
2021-02-28,80-89,541,592
2021-03-01,30-39,11120,18933
2021-03-01,70-79,1329,1156
2021-03-01,40-49,7133,8168
2021-03-01,60-69,2600,2175
2021-03-01,80-89,618,615
2021-03-01,90+,129,143
2021-03-01,50-59,4493,4525
2021-03-01,20-29,13023,20631
2021-03-01,0-19,5063,4920
2021-03-02,60-69,2798,2418
2021-03-02,70-79,1431,1191
2021-03-02,90+,121,222
2021-03-02,50-59,4363,5112
2021-03-02,40-49,6476,9015
2021-03-02,0-19,4273,4846
2021-03-02,20-29,11464,22026
2021-03-02,80-89,570,645
2021-03-02,30-39,9487,19046
2021-03-03,60-69,2825,2652
2021-03-03,50-59,4430,5535
2021-03-03,40-49,6517,9143
2021-03-03,70-79,1537,1299
2021-03-03,90+,131,183
2021-03-03,30-39,9284,19295
2021-03-03,20-29,11575,22759
2021-03-03,0-19,4844,5078
2021-03-03,80-89,631,615
2021-03-04,30-39,9019,22765
2021-03-04,70-79,1215,1401
2021-03-04,0-19,4448,6133
2021-03-04,20-29,10896,26472
2021-03-04,50-59,4345,6694
2021-03-04,80-89,514,634
2021-03-04,60-69,2537,3084
2021-03-04,40-49,6395,11523
2021-03-04,90+,106,141
2021-03-05,0-19,1760,3005
2021-03-05,80-89,202,266
2021-03-05,50-59,1974,3400
2021-03-05,30-39,4023,11733
2021-03-05,40-49,2946,6175
2021-03-05,60-69,1019,1461
2021-03-05,70-79,484,619
2021-03-05,20-29,4718,13598
2021-03-05,90+,40,64
2021-03-06,60-69,584,933
2021-03-06,20-29,3226,8312
2021-03-06,0-19,1439,2099
2021-03-06,80-89,73,153
2021-03-06,30-39,2135,6992
2021-03-06,50-59,1162,2464
2021-03-06,40-49,1685,3950
2021-03-06,90+,19,28
2021-03-06,70-79,243,347
2021-03-07,20-29,8756,23050
2021-03-07,0-19,3869,6521
2021-03-07,50-59,3127,6540
2021-03-07,70-79,1075,1598
2021-03-07,80-89,530,681
2021-03-07,30-39,6703,19757
2021-03-07,40-49,4759,11072
2021-03-07,90+,135,132
2021-03-07,60-69,2009,3328
2021-03-08,20-29,8073,22525
2021-03-08,0-19,3342,6371
2021-03-08,50-59,2745,7063
2021-03-08,80-89,421,771
2021-03-08,90+,106,208
2021-03-08,30-39,5951,19510
2021-03-08,70-79,888,1644
2021-03-08,40-49,4008,11431
2021-03-08,60-69,1628,3558
2021-03-09,80-89,425,761
2021-03-09,0-19,3331,7464
2021-03-09,20-29,7699,24073
2021-03-09,90+,87,164
2021-03-09,30-39,5831,19866
2021-03-09,40-49,3996,11788
2021-03-09,70-79,801,1710
2021-03-09,60-69,1684,3564
2021-03-09,50-59,2647,7087
2021-03-10,0-19,3452,5987
2021-03-10,80-89,337,420
2021-03-10,90+,87,94
2021-03-10,40-49,3448,9007
2021-03-10,30-39,4913,14944
2021-03-10,70-79,707,1022
2021-03-10,60-69,1276,2369
2021-03-10,20-29,6707,19564
2021-03-10,50-59,2162,5098
2021-03-11,80-89,316,400
2021-03-11,60-69,1307,2870
2021-03-11,90+,74,62
2021-03-11,0-19,3082,6896
2021-03-11,20-29,6693,21648
2021-03-11,50-59,2190,6325
2021-03-11,40-49,3575,11246
2021-03-11,70-79,590,1063
2021-03-11,30-39,5229,18375
2021-03-12,20-29,3399,13131
2021-03-12,90+,26,20
2021-03-12,70-79,263,472
2021-03-12,30-39,2540,11297
2021-03-12,50-59,1022,3829
2021-03-12,60-69,553,1509
2021-03-12,40-49,1758,6802
2021-03-12,80-89,111,182
2021-03-12,0-19,1424,4054
2021-03-13,50-59,715,2352
2021-03-13,60-69,326,927
2021-03-13,30-39,1676,6100
2021-03-13,90+,<15,26
2021-03-13,40-49,1273,4104
2021-03-13,70-79,138,336
2021-03-13,80-89,52,147
2021-03-13,20-29,2543,8192
2021-03-13,0-19,1119,2997
2021-03-14,70-79,573,1685
2021-03-14,50-59,1919,6776
2021-03-14,30-39,4561,19707
2021-03-14,40-49,2978,11741
2021-03-14,60-69,1173,3498
2021-03-14,90+,66,142
2021-03-14,80-89,288,692
2021-03-14,20-29,6300,22232
2021-03-14,0-19,2971,7354
2021-03-15,60-69,1047,3799
2021-03-15,40-49,2959,12037
2021-03-15,50-59,1830,7084
2021-03-15,0-19,2597,8034
2021-03-15,80-89,261,833
2021-03-15,90+,57,200
2021-03-15,20-29,6131,23713
2021-03-15,70-79,506,1962
2021-03-15,30-39,4515,20390
2021-03-16,0-19,2557,7963
2021-03-16,50-59,1644,6383
2021-03-16,20-29,5662,22196
2021-03-16,60-69,999,3391
2021-03-16,30-39,4039,18146
2021-03-16,80-89,257,759
2021-03-16,40-49,2779,10679
2021-03-16,90+,76,141
2021-03-16,70-79,519,1697
2021-03-17,20-29,5219,17861
2021-03-17,50-59,1659,5519
2021-03-17,0-19,2334,6288
2021-03-17,70-79,458,1565
2021-03-17,60-69,979,2896
2021-03-17,40-49,2631,8968
2021-03-17,30-39,3948,14882
2021-03-17,80-89,228,698
2021-03-17,90+,46,155
2021-03-18,50-59,1536,5545
2021-03-18,80-89,231,641
2021-03-18,0-19,2035,5998
2021-03-18,20-29,4603,17168
2021-03-18,60-69,914,2833
2021-03-18,40-49,2418,9350
2021-03-18,70-79,427,1284
2021-03-18,90+,66,131
2021-03-18,30-39,3594,15015
2021-03-19,80-89,73,283
2021-03-19,0-19,807,2683
2021-03-19,20-29,1930,8369
2021-03-19,70-79,133,534
2021-03-19,90+,<15,40
2021-03-19,30-39,1718,7518
2021-03-19,40-49,1108,4534
2021-03-19,60-69,312,1211
2021-03-19,50-59,660,2696
2021-03-20,0-19,716,2066
2021-03-20,90+,<15,<15
2021-03-20,80-89,47,103
2021-03-20,20-29,1764,4891
2021-03-20,50-59,460,1429
2021-03-20,70-79,98,297
2021-03-20,60-69,226,604
2021-03-20,30-39,1034,3374
2021-03-20,40-49,764,2448
2021-03-21,20-29,3990,11764
2021-03-21,0-19,1749,4538
2021-03-21,80-89,178,556
